nombre,categoria,origen,ingredientes,descripcion,tiempo_preparacion,dificultad
Receta 1,ensalada,India,"banano, sal, maíz, limón, fresas, aguacate, carne, vinagre","Receta deliciosa con sal, banano, carne, fresas, vinagre.",102,fácil
Receta 2,sopa,EE.UU.,"papa, espinaca, miel, soya, frijoles, aceite de oliva, pescado","Receta deliciosa con aceite de oliva, espinaca, frijoles.",16,fácil
Receta 3,almuerzo,Colombia,"pasta, aceite de oliva, aguacate, yogur, zanahoria","Receta deliciosa con aceite de oliva, zanahoria, pasta, yogur.",33,media
Receta 4,postre,Colombia,"lentejas, pera, leche, carne, tomate, pan","Receta deliciosa con pan, lentejas, pera, leche, tomate, carne.",24,media
Receta 5,sopa,Japón,"huevo, banano, salsa de tomate, miel, arroz, cebolla, vinagre","Receta deliciosa con banano, salsa de tomate, arroz, miel, cebolla.",113,media
Receta 6,desayuno,Italia,"salsa de tomate, maíz, pimienta, espinaca, lentejas, cebolla, pepino","Receta deliciosa con pimienta, salsa de tomate, pepino, lentejas.",120,difícil
Receta 7,bebida,China,"pimienta, salsa de tomate, mostaza, maíz, aceite de oliva, zanahoria, limón","Receta deliciosa con maíz, salsa de tomate, pimienta, aceite de oliva.",41,fácil
Receta 8,sopa,India,"yogur, pimienta, pera, pan, pescado, leche, banano, tomate, mantequilla, espinaca","Receta deliciosa con tomate, pescado, yogur, espinaca, mantequilla, pan.",28,difícil
Receta 9,almuerzo,España,"limón, champiñones, aceite de oliva, pollo, espinaca, pescado, maíz, frijoles","Receta deliciosa con frijoles, champiñones, espinaca, pollo, limón.",38,fácil
Receta 10,ensalada,China,"maíz, fresas, tomate, pepino, mantequilla, leche, espinaca, miel, aceite de oliva, mostaza","Receta deliciosa con miel, mantequilla, pepino, espinaca, tomate.",118,fácil
Receta 11,postre,Italia,"pera, salsa de tomate, pimienta, pasta, cebolla, pepino, tomate, lentejas","Receta deliciosa con salsa de tomate, cebolla, pasta.",45,difícil
Receta 12,almuerzo,China,"pimienta, aguacate, maíz, lentejas, queso, limón, banano, mantequilla, yogur, manzana","Receta deliciosa con limón, lentejas, mantequilla.",35,difícil
Receta 13,postre,México,"mostaza, pepino, arroz, mantequilla, pera, banano, frijoles, manzana, pasta, aceite de oliva","Receta deliciosa con pasta, pera, banano, mantequilla, pepino.",113,media
Receta 14,desayuno,EE.UU.,"mostaza, mantequilla, pescado, huevo, frijoles","Receta deliciosa con pescado, frijoles, huevo, mantequilla, mostaza.",67,fácil
Receta 15,almuerzo,Francia,"mostaza, pepino, zanahoria, ajo, arroz","Receta deliciosa con ajo, pepino, arroz.",44,media
Receta 16,sopa,EE.UU.,"miel, soya, queso, pollo, mostaza, sal, yogur, pepino, cebolla, tomate","Receta deliciosa con cebolla, tomate, miel, queso.",119,media
Receta 17,desayuno,Japón,"miel, pepino, maíz, espinaca, pimienta, ajo, pera, carne, arroz, pasta","Receta deliciosa con arroz, pera, pasta, carne, pepino.",76,difícil
Receta 18,bebida,Italia,"tomate, aguacate, pan, mantequilla, pescado, sal, pepino, maíz, papa, banano","Receta deliciosa con papa, aguacate, sal, tomate.",22,difícil
